2012-01-12,Position: 13,Shift: 0.3204836427595646,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Spirit Breaker,0.2633107734277672,0.0843867958459692,0.0843867958459692,0.0,
Silencer,0.2079527814010941,0.06664546490540607,0.06664546490540607,0.0,
Axe,0.02655372525082523,0.008510034597221102,0.021379704614033296,0.012869670016812194,
Anti-Mage,0.023577701694288706,0.007556267726884003,0.022807037470327005,0.030363305197211008,
Earthshaker,0.017963079655045167,0.005756873203029098,0.015303128395594575,0.021060001598623673,
Pudge,0.016122750149310226,0.005167077699153255,0.030685763395916388,0.03585284109506964,
Tidehunter,0.015376961463072358,0.004928064624258873,0.016094408414070397,0.02102247303832927,
Night Stalker,0.015185116104709042,0.0048665813249640835,0.015333416625966855,0.02019999795093094,
Huskar,0.014038831797765172,0.004499215954636589,0.0186348337365454,0.02313404969118199,
Nature's Prophet,0.014001349603234422,0.004487203524394752,0.02038397904054458,0.024871182564939334,
2012-06-11,Position: 9,Shift: 0.3930933036353869,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Phantom Assassin,0.21125522717053916,0.08304301515871139,0.08343384149432016,0.00039082633560877215,
Chaos Knight,0.15815143944743912,0.062168271807085694,0.06253503993777114,0.0003667681306854438,
Gyrocopter,0.12697578882222674,0.04991333230983834,0.05025683886490255,0.0003435065550642123,
Anti-Mage,0.02068058287231548,0.00812939864238389,0.011506546649923352,0.019635945292307243,
Drow Ranger,0.017553990372664276,0.0069003560675743765,0.015863394410573942,0.02276375047814832,
Bounty Hunter,0.01619794815915545,0.006367304953997149,0.019504444770851736,0.025871749724848885,
Ogre Magi,0.0161863893989411,0.006362761282758563,0.014395595984086957,0.02075835726684552,
Pudge,0.014077399764389636,0.005533731579979939,0.02705652110050747,0.03259025268048741,
Riki,0.013010415052723993,0.005114307034742841,0.014433868388442147,0.019548175423184988,
Lifestealer,0.01288163874708881,0.005063685931330747,0.010223903909370946,0.015287589840701693,
2012-07-26,Position: 21,Shift: 0.2600311899981306,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Nyx Assassin,0.223867271629012,0.058212473043326725,0.058212473043326725,0.0,
Keeper of the Light,0.17856036118736685,0.046431263206047006,0.046431263206047006,0.0,
Visage,0.09717814582635538,0.025269348901039056,0.025269348901039056,0.0,
Templar Assassin,0.05146080867291796,0.013381415317484976,0.018177619970810556,0.03155903528829553,
Nature's Prophet,0.011998941336821558,0.0031200989945314693,0.017973729496590932,0.0210938284911224,
Luna,0.01082448124317468,0.002814702738775156,0.01131504999237589,0.014129752731151047,
Disruptor,0.010158930806412624,0.002641638866700143,0.0060295815452981035,0.008671220411998247,
Phantom Assassin,0.010144271654582981,0.0026378270300055177,0.01860979807001111,0.021247625100016626,
Venomancer,0.009078338695107666,0.0023606512140949224,0.010548282397020062,0.012908933611114984,
Windranger,0.009048183511002197,0.0023528099256873644,0.02326616855817196,0.025618978483859325,
2012-10-30,Position: 5,Shift: 0.4349738922191271,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Anti-Mage,0.08130057319229918,0.03536362676110039,0.04881349310615505,0.013449866345054656,
Phantom Lancer,0.057853799448857,0.025164892325934118,0.0370117277741038,0.011846835448169685,
Drow Ranger,0.039404955981756876,0.017140127076108163,0.04779471610552268,0.03065458902941452,
Storm Spirit,0.032002150108971394,0.013920099792280049,0.022993842943259245,0.009073743150979197,
Centaur Warrunner,0.027565516343120145,0.011990279934796929,0.027389908451475403,0.015399628516678475,
Tinker,0.026576844964946333,0.011560233697307017,0.01799663981168739,0.006436406114380373,
Ursa,0.02631063801663693,0.011444440624865099,0.02337859733019917,0.011934156705334072,
Phantom Assassin,0.025400454054953395,0.011048534364416187,0.0280962780439087,0.01704774367949251,
Queen of Pain,0.02537240382195447,0.011036333245390993,0.02341707276889317,0.012380739523502176,
Clinkz,0.024544111039509174,0.010676047509913751,0.022717280174527225,0.012041232664613474,
2012-12-19,Position: 14,Shift: 0.2952161439513207,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Ursa,0.06174622644218212,0.01822848287380608,0.030934780537771583,0.012706297663965502,
Bounty Hunter,0.04557688888015868,0.01345503338849827,0.011953971513564105,0.025409004902062375,
Magnus,0.03463801077333798,0.010225699974649142,0.020348660776104626,0.010122960801455484,
Undying,0.03296639580671993,0.009732212250032846,0.01812541063542056,0.008393198385387716,
Jakiro,0.03140231346676422,0.009270469892808761,0.02181727472626761,0.012546804833458849,
Riki,0.028530288346125178,0.008422601711362377,0.011748518766222859,0.020171120477585236,
Wraith King,0.026889914273581297,0.007938336803028249,0.020359856575911942,0.012421519772883693,
Death Prophet,0.024413210749143762,0.007207173938833154,0.01930705855894343,0.012099884620110277,
Windranger,0.023480487702981306,0.006931819037770544,0.014808900464429274,0.02174071950219982,
Drow Ranger,0.020330577225729916,0.006001914612884525,0.03225234939930606,0.038254264012190585,
2013-11-14,Position: 4,Shift: 0.5139691979753223,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Ember Spirit,0.0782320238085866,0.040208850532885566,0.040208850532885566,0.0,
Earth Spirit,0.05588722307235558,0.028724311219566524,0.028724311219566524,0.0,
Storm Spirit,0.04805616984197923,0.024699391071447935,0.033065961538242164,0.008366570466794229,
Troll Warlord,0.03498709524925149,0.017982289284743998,0.024513534705461863,0.006531245420717863,
Anti-Mage,0.033154541572209324,0.017040413141107907,0.029370383963209318,0.012329970822101412,
Shadow Shaman,0.02604728681839586,0.013387503115484103,0.021335748656754614,0.00794824554127051,
Lion,0.024631140927457332,0.01265964774770238,0.02583689494328301,0.01317724719558063,
Tinker,0.022336974872711773,0.011480517060522596,0.01669989153651965,0.005219374475997054,
Queen of Pain,0.01930756343249676,0.00992349289225802,0.01984407765441787,0.009920584762159849,
Bounty Hunter,0.018052123119428803,0.009278235241444594,0.0113800061952465,0.020658241436691094,
2013-12-12,Position: 1,Shift: 0.9750055687168958,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Legion Commander,0.08343774419156481,0.08135226522795153,0.08135226522795153,0.0,
Axe,0.07719068234042803,0.07526134513497428,0.08907634958402734,0.013815004449053068,
Drow Ranger,0.05203032343861022,0.05072985509478619,0.06926874041710451,0.018538885322318323,
Sven,0.05003597153499263,0.048785350882777904,0.060005702576612134,0.01122035169383423,
Omniknight,0.038483784075968225,0.037521903779367614,0.044524505926164616,0.007002602146797003,
Shadow Fiend,0.03275913411071718,0.031940338184292864,0.04238869924969678,0.010448361065403916,
Venomancer,0.029344475691818396,0.02861102721060052,0.040942149772422665,0.012331122561822144,
Juggernaut,0.02560094646395598,0.024961065366780204,0.04192544221255025,0.016964376845770044,
Magnus,0.023589990146012763,0.02300037175833914,0.028856150958707038,0.005855779200367897,
Windranger,0.018468491329809385,0.01800688189236386,0.03464902867554875,0.01664214678318489,
2014-01-19,Position: 767,Shift: 0.03547156411321141,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Invoker,0.08741542644079911,0.0031007619034785217,0.02250375873692818,0.01940299683344966,
Pudge,0.050274515421716806,0.0017833156970420636,0.028017268604663043,0.029800584301705107,
Timbersaw,0.04328440551464761,0.0015353655653150642,0.012817108929058487,0.011281743363743423,
Luna,0.042858092818175944,0.0015202435871698936,0.013745217888105584,0.01222497430093569,
Windranger,0.04137404956024314,0.0014676022515993509,0.014012369147237145,0.015479971398836495,
Axe,0.0413289693575422,0.001466003186299008,0.012131215646978943,0.013597218833277951,
Nyx Assassin,0.0332693952746338,0.0011801174874919457,0.0096145892708671,0.008434471783375154,
Pugna,0.032521321003437284,0.0011535821230197543,0.0073876330717001235,0.006234050948680369,
Alchemist,0.03043044296951039,0.0010794154087864112,0.015976348325696492,0.01489693291691008,
Dazzle,0.027072003094620833,0.0009602862934439006,0.007658629024116881,0.006698342730672981,
2014-02-05,Position: 2,Shift: 0.8242279484963592,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Warlock,0.07777570164321039,0.06410490700824821,0.07286474044456102,0.008759833436312809,
Lich,0.0763669190626217,0.0629437490319722,0.07287078798528036,0.00992703895330817,
Death Prophet,0.051243997070313164,0.04223673457801766,0.05480934385852762,0.012572609280509961,
Troll Warlord,0.03721419054053103,0.030672975924174506,0.03580281381310242,0.005129837888927916,
Venomancer,0.034185275170773605,0.028176459222790252,0.039135602373084666,0.010959143150294415,
Templar Assassin,0.033148039232465606,0.027321540373251955,0.03548032777670699,0.008158787403455034,
Shadow Shaman,0.02931024445332173,0.02415832265568816,0.03355413040538372,0.009395807749695562,
Drow Ranger,0.02896634820873529,0.023874873759517076,0.04348233719269079,0.019607463433173714,
Visage,0.025752126982384983,0.02122562279210891,0.02478797897310904,0.003562356181000132,
Slardar,0.024621011077636548,0.020293325450426506,0.029533035247701518,0.009239709797275012,
2014-11-20,Position: 50,Shift: 0.1881879853655145,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Oracle,0.26930983531343894,0.05068087534675457,0.05078169027659997,0.00010081492984540033,
Phantom Assassin,0.17439075077181102,0.03281824405412666,0.0620102224709926,0.029191978416865945,
Sniper,0.014958604012544877,0.002815029553001322,0.0263246602741634,0.029139689827164722,
Anti-Mage,0.011633249035106293,0.0021892376991719687,0.009577553286249508,0.011766790985421476,
Drow Ranger,0.01143016181273272,0.002151019123940008,0.015057226351960953,0.01720824547590096,
Invoker,0.010523330390764673,0.0019803643455736965,0.01780839474972556,0.019788759095299258,
Nature's Prophet,0.010301000311416121,0.0019385244958549375,0.009681320171813649,0.011619844667668586,
Medusa,0.009472956542051623,0.001782696607103766,0.005247217875204994,0.00702991448230876,
Mirana,0.009380674391804929,0.0017653302151636428,0.016298000433823734,0.018063330648987377,
Spectre,0.00903972362987338,0.0017011673781669075,0.007355378919327369,0.009056546297494276,
2015-02-18,Position: 26,Shift: 0.24633238752617873,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Warlock,0.07194458988058988,0.017722282594877462,0.026461401189558892,0.00873911859468143,
Zeus,0.07137132646206411,0.01758106924831059,0.033979730370454216,0.016398661122143627,
Undying,0.06689355377427944,0.01647804881132908,0.02447909549598476,0.00800104668465568,
Omniknight,0.059570486431635025,0.014674140148800491,0.026638114679817016,0.011963974531016525,
Sniper,0.049181523763961,0.01211500217095201,0.04792890985177343,0.03581390768082142,
Juggernaut,0.039270462414416375,0.009673586765800251,0.02424922904444501,0.03392281581024526,
Axe,0.02907046943294587,0.007160998141924356,0.03890328844284269,0.03174229030091833,
Troll Warlord,0.02702247458336913,0.006656510680986799,0.023652117304710573,0.016995606623723774,
Death Prophet,0.02390563450940323,0.005888732024029508,0.014033259131214485,0.008144527107184977,
Pudge,0.02320176241772064,0.00571534553117229,0.022176190441723042,0.027891535972895332,
2015-04-30,Position: 74,Shift: 0.15651667467360603,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Alchemist,0.09490194958297124,0.014853737568768871,0.020222916232194143,0.005369178663425271,
Troll Warlord,0.062015059541108725,0.009706390899060021,0.015468967622382647,0.02517535852144267,
Sniper,0.060532165241716784,0.009474293214426749,0.032700026849998766,0.042174320064425515,
Nature's Prophet,0.030719875186356747,0.004808172710556781,0.012488553294346576,0.007680380583789795,
Legion Commander,0.030313423930501817,0.004744556311573457,0.01435644936647863,0.009611893054905174,
Juggernaut,0.028254205669810056,0.0044222543169828155,0.021415452641662752,0.025837706958645568,
Storm Spirit,0.025754903859894675,0.004031071908689135,0.017114456742008902,0.021145528650698037,
Wraith King,0.024043539345869155,0.0037632148257994488,0.014583288341588712,0.010820073515789263,
Lifestealer,0.02375741608922786,0.003718431765123171,0.011554927587197223,0.007836495822074052,
Axe,0.022442851737654684,0.0035126805241704716,0.02152029012181132,0.02503297064598179,
2015-05-03,Position: 150,Shift: 0.11655993695418435,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Sniper,0.0989340864315189,0.011531750877077668,0.028157575737593463,0.03968932661467113,
Troll Warlord,0.0876011653116154,0.010210786305834971,0.012466082383767334,0.022676868689602305,
Undying,0.05404969855507691,0.006300029455972433,0.012974786976155958,0.0066747575201835255,
Alchemist,0.05238801410197044,0.006106343620880595,0.014128417585127328,0.008022073964246732,
Juggernaut,0.04088079829773354,0.004765063272220548,0.01988121318279796,0.024646276455018507,
Storm Spirit,0.035247042504603386,0.004108393052158026,0.015927060975919782,0.02003545402807781,
Axe,0.034753683771073636,0.004050887189282003,0.020043117117540785,0.024094004306822788,
Ursa,0.02273744441941832,0.00265027508802667,0.012243095721233006,0.009592820633206336,
Luna,0.022443554914875253,0.002616019345905634,0.009986245106765929,0.007370225760860295,
Night Stalker,0.02046426326981483,0.002385313236543447,0.00845683425054313,0.006071521013999682,
